Elo	Username	W	L	T	Last update
1045	Lemon STALL	1	0	0	Tue Feb 02 2021 18:01:11 GMT-0300 (Horário Padrão de Brasília)
1000	RawrXO	0	1	0	Tue Feb 02 2021 18:01:11 GMT-0300 (Horário Padrão de Brasília)
