Elo	Username	W	L	T	Last update
1045	Muhframos	1	0	0	Fri Mar 05 2021 20:49:52 GMT-0500 (Eastern Standard Time)
1000	Bennoloth	0	1	0	Fri Mar 05 2021 20:49:52 GMT-0500 (Eastern Standard Time)
