Elo	Username	W	L	T	Last update
1045	Muhframos	1	0	0	Thu Apr 01 2021 21:28:29 GMT-0400 (Eastern Daylight Time)
1000	alee51104	0	1	0	Thu Apr 01 2021 21:28:29 GMT-0400 (Eastern Daylight Time)
